city,lat,lon
Ridgefield,45.8116,-122.7052
Bryant,48.24,-122.1638
Nisqually Indian Community,47.0178,-122.6728
Porter,46.9489,-123.2736
Kettle Falls,48.6055,-118.06200000000001
Chelan,47.8417,-120.027
Edison,48.5602,-122.431
Neilton,47.4031,-123.8782
Fox Island,47.2475,-122.6255
Renton,47.4758,-122.1905
Baring,47.7661,-121.4803
Hobart,47.412,-121.99600000000001
Wallula,46.0847,-118.9056
Touchet,46.0412,-118.6724
Leavenworth,47.5948,-120.6633
Fobes Hill,47.9391,-122.1341
Harrington,47.4802,-118.2552
Port Orchard,47.5164,-122.661
Alderwood Manor,47.8147,-122.2676
Kennewick,46.1979,-119.1732
Ahtanum,46.5583,-120.6109
Wilderness Rim,47.4463,-121.7691
Machias,47.9917,-122.0515
Bingen,45.7139,-121.4704
Four Lakes,47.5582,-117.5891
Springdale,48.0572,-117.7466
Washtucna,46.7538,-118.3106
Covington,47.3668,-122.1044
Allyn,47.3863,-122.8386
North Sultan,47.8827,-121.8251
Union Gap,46.5567,-120.4977
Shelton,47.2188,-123.1127
Chinook,46.2755,-123.9425
Blaine,48.9839,-122.7414
Port Hadlock-Irondale,48.0316,-122.789
Burley,47.4166,-122.6377
Mount Vernon,48.4202,-122.3116
Electric City,47.922,-119.0475
Ronald,47.2338,-121.0335
Nespelem Community,48.1715,-119.0244
Amanda Park,47.4532,-123.9194
Clarkston Heights-Vineland,46.3876,-117.0831
Boulevard Park,47.5135,-122.3159
Big Lake,48.3933,-122.2422
Boyds,48.7245,-118.1321
Parkwood,47.5266,-122.5986
Deer Park,47.9642,-117.4397
Humptulips,47.2491,-123.9348
SeaTac,47.4445,-122.2986
Maple Valley,47.3659,-122.0368
Millwood,47.6856,-117.2806
Point Roberts,48.9883,-123.0576
Dixie,46.1392,-118.148
East Port Orchard,47.5193,-122.6183
Morton,46.5575,-122.2815
Alger,48.6176,-122.3369
Kahlotus,46.6437,-118.5556
Fife Heights,47.2593,-122.3457
Cherry Grove,45.8021,-122.5764
Clearview,47.8292,-122.1452
Greenwater,47.1465,-121.632
Picnic Point,47.8745,-122.3079
Kendall,48.9168,-122.1383
Seabeck,47.6437,-122.8219
Startup,47.8671,-121.7495
Steilacoom,47.1699,-122.5935
Lamont,47.2007,-117.9049
Bay View,48.486999999999995,-122.4628
Valley,48.173,-117.7244
North Marysville,48.1111,-122.1459
Brady,47.0064,-123.5321
May Creek,47.8555,-121.6743
Clear Lake,48.4561,-122.2378
Keller,48.0852,-118.7164
Redmond,47.6762,-122.1169
Ilwaco,46.3108,-124.0422
Mountlake Terrace,47.7921,-122.3076
Parker,46.5022,-120.4668
Soap Lake,47.3914,-119.4892
Grand Mound,46.8053,-123.0119
Manchester,47.5519,-122.5517
Prairie Heights,47.1529,-122.1048
Verlot,48.1002,-121.7679
North Omak,48.443999999999996,-119.4459
Naches,46.7274,-120.6945
Summitview,46.598,-120.6514
Clover Creek,47.1404,-122.3827
Prosser,46.2066,-119.7662
Naselle,46.365,-123.8013
Rock Island,47.3743,-120.1382
Goldendale,45.8192,-120.8233
Maltby,47.8027,-122.1044
Oak Harbor,48.2965,-122.6331
Tanglewilde,47.0512,-122.781
Endicott,46.9282,-117.6867
Mill Creek East,47.8361,-122.1877
Maple Heights-Lake Desire,47.4441,-122.0973
Midland,47.1734,-122.412
Kingston,47.8014,-122.4989
Esperance,47.7937,-122.3469
Grays River,46.3608,-123.589
Sultan,47.8708,-121.8044
La Grande,46.8199,-122.2962
Ritzville,47.1254,-118.3808
Malott,48.2919,-119.6954
Coulee City,47.611999999999995,-119.2892
Raymond,46.6838,-123.738
Wollochet,47.2828,-122.5769
Quincy,47.2347,-119.8522
Walla Walla East,46.0517,-118.3024
Hamilton,48.5282,-121.9834
Woodinville,47.7569,-122.1477
Bay Center,46.6211,-123.9533
Port Townsend,48.122,-122.7872
Riverside,48.5047,-119.5102
Woodway,47.7903,-122.3851
Qui-nai-elt Village,47.2502,-124.1903
Stevenson,45.6944,-121.8932
Ocean Park,46.4961,-124.0443
Port Angeles,48.1142,-123.4565
Bonney Lake,47.1789,-122.1698
Oroville,48.942,-119.4304
Garrett,46.0633,-118.3876
Otis Orchards-East Farms,47.703,-117.0854
Warm Beach,48.1649,-122.3442
Twin Lakes,48.2622,-118.359
Conway,48.3357,-122.3444
College Place,46.0418,-118.3879
Eastmont,47.8968,-122.1817
Maple Falls,48.9135,-122.1048
Ephrata,47.3119,-119.5344
Buena,46.4299,-120.3176
Tumwater,46.989,-122.9173
Desert Aire,46.6873,-119.9311
Lake Holm,47.2986,-122.1335
Mukilteo,47.9094,-122.3035
Twisp,48.3618,-120.1169
Lake Shore,45.6911,-122.6911
Keyport,47.6993,-122.6232
Lake Stevens,48.0029,-122.096
Starbuck,46.5182,-118.1245
Harrah,46.4071,-120.5422
Hansville,47.8978,-122.5579
Carlsborg,48.0842,-123.1697
Yelm,46.9398,-122.6261
Fenwick Island,38.4603,-75.0542
Delmar,38.4651,-75.5552
Ardencroft,39.8056,-75.4862
Felton,39.0127,-75.5764
Hartly,39.1683,-75.7125
Pike Creek,39.7485,-75.6953
Millville,38.5353,-75.1287
Highland Acres,39.1162,-75.5216
Rising Sun-Lebanon,39.0999,-75.5048
Little Creek,39.1661,-75.4481
Magnolia,39.0714,-75.476
Greenville,39.7783,-75.6049
Elsmere,39.7385,-75.5946
Seaford,38.6539,-75.6117
Dover Base Housing,39.1179,-75.4839
Dagsboro,38.5466,-75.2467
Milford,38.9091,-75.4224
Bridgeville,38.7247,-75.6027
Bellefonte,39.7669,-75.4982
Smyrna,39.2922,-75.6076
Wilmington Manor,39.6858,-75.5849
New Castle,39.6685,-75.5692
Bowers,39.0602,-75.4021
Selbyville,38.4627,-75.2083
Houston,38.9174,-75.5039
Woodside East,39.0676,-75.5376
Viola,39.0429,-75.5714
Dewey Beach,38.6958,-75.0749
Bethany Beach,38.5391,-75.066
Edgemoor,39.7551,-75.507
Townsend,39.3968,-75.6945
Georgetown,38.6899,-75.3872
Kenton,39.2272,-75.6646
Greenwood,38.8069,-75.5907
North Star,39.755,-75.7331
Slaughter Beach,38.9143,-75.3085
Middletown,39.4453,-75.7166
Blades,38.6353,-75.6024
Frederica,39.008,-75.4667
Rehoboth Beach,38.7168,-75.0843
Woodside,39.0712,-75.5667
Bear,39.6188,-75.6804
Wilmington,39.7415,-75.5413
Pike Creek Valley,39.7296,-75.6993
Rodney Village,39.1284,-75.5395
Henlopen Acres,38.7257,-75.0849
Frankford,38.5215,-75.2342
Millsboro,38.5865,-75.3019
Glasgow,39.6015,-75.7474
Cheswold,39.2189,-75.5883
Kent Acres,39.1325,-75.516
St. Georges,39.5576,-75.6533
Ardentown,39.8081,-75.4807
Arden,39.8113,-75.4886
Ellendale,38.8103,-75.425
Lewes,38.7781,-75.1454
Laurel,38.5696,-75.5688
Brookside,39.6666,-75.7153
Wyoming,39.1147,-75.5631
Claymont,39.8032,-75.4606
Newark,39.6776,-75.7573
Long Neck,38.62,-75.1511
Camden,39.0992,-75.557
Leipsic,39.243,-75.5155
Delaware City,39.5743,-75.5939
Ocean View,38.5357,-75.0991
South Bethany,38.5161,-75.0591
Hockessin,39.7837,-75.6815
Riverview,39.0293,-75.5202
Dover,39.161,-75.5203
Washington,38.9047,-77.0163
Stone Lake,45.8445,-91.5502
Nelson,44.4214,-92.0044
Fennimore,42.9793,-90.6491
Chenequa,43.1229,-88.3838
Helenville,43.0165,-88.6999
Tichigan,42.8088,-88.215
Kekoskee,43.5271,-88.5615
Wonewoc,43.6531,-90.2239
St. Peter,43.8377,-88.3465
Black River Falls,44.2981,-90.8419
Shiocton,44.4449,-88.5768
Waldo,43.6766,-87.9478
North Prairie,42.9357,-88.4038
Mattoon,45.0046,-89.0411
Almond,44.2607,-89.4087
New Auburn,45.1988,-91.5666
Hustisford,43.3442,-88.6033
Little Chute,44.2895,-88.3199
Birnamwood,44.9319,-89.2094
Lodi,43.3154,-89.5367
Whitehall,44.3705,-91.3476
West Baraboo,43.4814,-89.7719
Lomira,43.5945,-88.4421
Brownsville,43.6145,-88.4952
Bloomer,45.103,-91.4913
Wabeno,45.4394,-88.6581
Whitewater,42.8372,-88.734
Reedsville,44.1525,-87.9517
Amherst,44.4475,-89.2832
Monona,43.053999999999995,-89.3334
River Falls,44.8608,-92.6244
Delavan,42.6281,-88.6324
Greendale,42.937,-88.0018
Couderay,45.7976,-91.3005
Berlin,43.9704,-88.9505
Grantsburg,45.7813,-92.6836
Burnett,43.5065,-88.7085
Wausau,44.9615,-89.6457
Livingston,42.9001,-90.4337
Hillsboro,43.6559,-90.3365
Exeland,45.6669,-91.2425
Whitelaw,44.1452,-87.8281
East Troy,42.7848,-88.3973
Oconto,44.8918,-87.8692
Elkhorn,42.6711,-88.5377
Nashotah,43.0938,-88.4037
Rewey,42.8419,-90.3961
Ferryville,43.3516,-91.0935
Neillsville,44.5605,-90.5905
Sun Prairie,43.1827,-89.2357
Wilton,43.8132,-90.5268
Eleva,44.5763,-91.4705
Menomonie,44.8893,-91.9084
Wales,43.0042,-88.3739
Manitowoc,44.0991,-87.6811
Ashippun,43.2182,-88.5159
New Lisbon,43.8781,-90.1625
New Odanah,46.5986,-90.6618
Sauk City,43.2721,-89.7307
Pulcifer,44.8476,-88.3592
New Berlin,42.9726,-88.1291
Milladore,44.6057,-89.8549
Mason,46.4354,-91.06
Oconomowoc Lake,43.0975,-88.4521
Independence,44.3328,-91.4172
Maribel,44.2775,-87.8025
Oak Creek,42.8803,-87.9009
Van Dyne,43.8862,-88.5012
Pence,46.4104,-90.2695
Saukville,43.3847,-87.9439
Clyman,43.3116,-88.7231
Wild Rose,44.1788,-89.2442
Reedsburg,43.5346,-89.99700000000001
Patch Grove,42.9406,-90.9725
Paddock Lake,42.5707,-88.1044
New Holstein,43.9491,-88.0942
Lake Hallie,44.8921,-91.42
Hewitt,44.6425,-90.1048
Menomonee Falls,43.1487,-88.1227
Eastman,43.1622,-91.0254
