Tech,Percentage,Date,Title
nlp,0.7558078116146629,12-09-2019,Data Analyst
netbeans,0.012484754194397226,12-09-2019,Data Analyst
netsuite,0.021128045559749155,12-09-2019,Data Analyst
nosql,1.3157010189480154,12-09-2019,Data Analyst
node,0.4830639507524466,12-09-2019,Data Analyst
numpy,0.2170426498410595,12-10-2019,Data Analyst
oracle,2.0474996878811447,12-10-2019,Data Analyst
php,1.3003351676318342,12-10-2019,Data Analyst
pmp,0.0576219424356795,12-10-2019,Data Analyst
pandas,0.4004724999279726,12-10-2019,Data Analyst
perl,0.4119968884151085,12-10-2019,Data Analyst
photoshop,0.1603810731126413,12-10-2019,Data Analyst
pi,0.07971035370268997,12-11-2019,Data Analyst
pig,0.4119968884151085,12-11-2019,Data Analyst
postgresql,0.5157163847993316,12-11-2019,Data Analyst
powerpoint,0.3908688428553593,12-11-2019,Data Analyst
powershell,0.3246036090543279,12-11-2019,Data Analyst
puppet,0.10179876496970047,12-11-2019,Data Analyst
pycharm,0.00960365707261325,12-12-2019,Data Analyst
pytorch,0.2208841126701048,12-12-2019,Data Analyst
python,8.771020004417682,12-12-2019,Data Analyst
r,4.2592219117039765,12-12-2019,Data Analyst
rails,0.2631402037896031,12-12-2019,Data Analyst
raspberry,0.013445119901658552,12-12-2019,Data Analyst
react,1.0861736149125587,12-12-2019,Data Analyst
ruby,0.6703352636684049,12-13-2019,Data Analyst
sap,0.5253200418719448,12-13-2019,Data Analyst
sas,1.1793290885169072,12-13-2019,Data Analyst
spss,0.2794664208130456,12-13-2019,Data Analyst
sql,12.052589626129633,12-13-2019,Data Analyst
sqlite,0.01728658273070385,12-13-2019,Data Analyst
salesforce,0.5070730934339797,12-14-2019,Data Analyst
scala,1.373322961383695,12-14-2019,Data Analyst
scrum,0.9209907132636108,12-14-2019,Data Analyst
shell,0.8998626677038617,12-14-2019,Data Analyst
spark,2.9367983328051324,12-14-2019,Data Analyst
spring,0.6424846581578265,12-14-2019,Data Analyst
swift,0.07586889087364469,12-14-2019,Data Analyst
tableau,2.390350245373438,12-15-2019,Data Analyst
tensorflow,0.5282011389937288,12-15-2019,Data Analyst
torch,0.03553353116866903,12-15-2019,Data Analyst
unity,0.050899382484850236,12-15-2019,Data Analyst
vue,0.32364324334706657,12-15-2019,Data Analyst
watson,0.0115243884871359,12-15-2019,Data Analyst
webassembly,0.006722559950829276,12-16-2019,Data Analyst
windows,1.1572406772498969,12-16-2019,Data Analyst
wordpress,0.4004724999279726,12-16-2019,Data Analyst
xgboost,0.026890239803317104,12-16-2019,Data Analyst
xml,0.4081554255860632,12-16-2019,Data Analyst
xamarin,0.03169206833962373,12-16-2019,Data Analyst
xcode,0.010564022779874577,12-16-2019,Data Analyst
zend,0.008643291365351925,12-17-2019,Data Analyst
ios,0.2602591066678191,12-17-2019,Data Analyst
jquery,0.6991462348862447,12-17-2019,Data Analyst
mapreduce,0.392789574269882,12-17-2019,Data Analyst
sklearn,0.0230487769742718,12-17-2019,Data Analyst
C++,1.5567528114706082,12-17-2019,Data Analyst
C#,1.4328656352338969,12-18-2019,Data Analyst
excel,35.29411764705883,12-18-2019,Data Analyst
gcp,5.882352941176469,12-18-2019,Data Analyst
illustrator,2.9411764705882346,12-18-2019,Data Analyst
microsoft,35.29411764705883,12-18-2019,Data Analyst
photoshop,2.9411764705882346,12-18-2019,Data Analyst
powerpoint,2.9411764705882346,12-18-2019,Data Analyst
python,2.9411764705882346,12-18-2019,Data Analyst
r,2.9411764705882346,12-18-2019,Data Analyst
react,2.9411764705882346,12-18-2019,Data Analyst
sql,2.9411764705882346,12-18-2019,Data Analyst
tableau,2.9411764705882346,12-18-2019,Data Analyst
aws,1.2087362454151385,12-14-2019,Data Analyst
acrobat,0.008336112037345779,12-14-2019,Data Analyst
airflow,0.4668222740913638,12-14-2019,Data Analyst
alteryx,0.041680560186728915,12-14-2019,Data Analyst
apache,0.05001667222407469,12-14-2019,Data Analyst
azure,1.0836945648549516,12-14-2019,Data Analyst
bash,0.041680560186728915,12-14-2019,Data Analyst
bigquery,0.1333777925975325,12-14-2019,Data Analyst
css,0.008336112037345779,12-14-2019,Data Analyst
cassandra,0.1000333444481494,12-14-2019,Data Analyst
databricks,0.6085361787262421,12-14-2019,Data Analyst
django,0.008336112037345779,12-14-2019,Data Analyst
docker,0.033344448149383116,12-14-2019,Data Analyst
drupal,0.05001667222407469,12-14-2019,Data Analyst
dynamodb,0.05001667222407469,12-14-2019,Data Analyst
excel,11.795598532844279,12-14-2019,Data Analyst
firebase,0.1000333444481494,12-15-2019,Data Analyst
flask,0.033344448149383116,12-15-2019,Data Analyst
gcp,0.3001000333444481,12-15-2019,Data Analyst
git,0.041680560186728915,12-15-2019,Data Analyst
html,0.08336112037345783,12-15-2019,Data Analyst
hadoop,0.8169389796598866,12-15-2019,Data Analyst
hbase,0.1000333444481494,12-15-2019,Data Analyst
hive,1.4421473824608204,12-15-2019,Data Analyst
ibm,0.07502500833611203,12-15-2019,Data Analyst
java,2.209069689896632,12-15-2019,Data Analyst
javascript,0.875291763921307,12-15-2019,Data Analyst
jupyter,1.3671223741247085,12-15-2019,Data Analyst
linux,0.575191730576859,12-15-2019,Data Analyst
mariadb,0.3167722574191397,12-15-2019,Data Analyst
matlab,0.0916972324108036,12-15-2019,Data Analyst
microsoft,3.7929309769923294,12-15-2019,Data Analyst
mongodb,0.1333777925975325,12-16-2019,Data Analyst
mysql,1.06702234078026,12-16-2019,Data Analyst
net,1.0170056685561857,12-16-2019,Data Analyst
nlp,0.06668889629876625,12-16-2019,Data Analyst
nosql,1.4338112704234744,12-16-2019,Data Analyst
node,0.033344448149383116,12-16-2019,Data Analyst
numpy,0.025008336112037347,12-16-2019,Data Analyst
oracle,3.184394798266089,12-16-2019,Data Analyst
php,0.4668222740913638,12-16-2019,Data Analyst
pmp,0.041680560186728915,12-16-2019,Data Analyst
pandas,0.4334778259419807,12-16-2019,Data Analyst
perl,0.5001667222407469,12-16-2019,Data Analyst
pig,0.05835278426142047,12-16-2019,Data Analyst
postgresql,0.10836945648549516,12-16-2019,Data Analyst
