Name,Average_User_Rating,User_Rating_Count,Price,In-app_Purchases,Developer,Age_Rating,Languages,Size,Original_Release_Date,Current_Version_Release_Date,Action,Adventure,Board,Card,Casual,Education,Entertainment,Family,Puzzle,Role Playing,Simulation,Sports,Other,desc_lengths,Difference_in_Days
Motor-cycle Street Bike Racer Tap Game,0.0,0.0,0.0,"['4.99', '9.99']",Gavin Nichols,4.0,EN,66293760.0,1684,1684,0,0,0,0,0,0,1,0,0,0,0,0,1,83,0
Earth Girl 2,0.0,0.0,0.0,['0.0'],Isaac Kerlow,4.0,EN,790912000.0,1672,1079,0,0,0,0,0,1,0,0,0,0,0,0,0,862,593
Arcane Quest 2,4.5,179.0,0.0,"['1.99', '2.99', '0.99', '1.99', '0.99', '0.99', '0.99', '0.99']",Marco Pravato,12.0,EN,115552256.0,1684,1175,0,0,0,0,0,0,0,0,0,1,0,0,0,1333,509
Pipes Maze,0.0,0.0,0.99,['0.99'],Fan Zhang,4.0,EN,78646272.0,1694,239,0,0,0,0,0,0,0,0,1,0,0,0,0,469,1455
Can You Park?,0.0,0.0,0.0,['0.0'],Inderjit Singh Hayer,4.0,EN,23842816.0,1693,695,0,0,0,0,1,0,0,0,0,0,0,0,0,515,998
HS Companion - Companion to Hearthstone,0.0,0.0,0.0,['0.0'],Audacity Software Pte. Ltd.,4.0,EN,55754752.0,1671,1671,0,0,0,1,0,0,0,0,0,0,0,0,1,1124,0
Flangry Jump HD Premium,0.0,0.0,0.99,['0.0'],Zinitt,4.0,"EN, MS, ZH, ZH",18290688.0,1701,896,0,1,0,0,0,0,1,0,0,0,0,0,0,1746,805
Mega Farmer - 2d sandbox farming adventure simulator with corn harvest and vegetable,3.5,9.0,0.0,"['0.99', '0.99', '0.99']",York Burkhardt,4.0,EN,16297984.0,1664,1043,0,0,0,0,0,0,1,1,0,0,0,0,0,977,621
Six Ages: Ride Like the Wind,5.0,495.0,9.99,['0.0'],"A Sharp, LLC",12.0,EN,766313472.0,365,243,0,0,0,0,0,0,1,0,0,1,0,0,0,1878,122
Word Swipe 2 by CleverMedia,4.5,57.0,0.0,['0.0'],"CleverMedia, Inc.",4.0,EN,24712192.0,1700,1217,0,0,0,0,0,0,1,0,0,0,0,0,1,627,483
Shape Break,0.0,0.0,0.0,['0.0'],FUNMELD NETWORKS PRIVATE LIMITED,4.0,EN,40538112.0,1079,1079,0,0,0,0,1,0,1,0,0,0,0,0,0,287,0
Seize Halloween Knight,0.0,0.0,1.99,['0.99'],Fan Zhang,4.0,EN,59546624.0,1694,245,0,0,0,0,0,0,0,0,1,0,0,0,0,761,1449
